TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
199212,25.378,24.128,1.032,26.509,2.061,151.673,418.799,3.307,98.573,9.552,1.058
199301,25.184,23.924,1.168,26.277,1.94,154.637,417.573,3.321,98.728,9.639,1.054
199302,25.146,24.015,1.071,26.185,1.915,145.924,419.884,2.976,98.68,10.93,0.947
199303,25.186,23.986,1.145,26.305,1.997,142.09,419.374,3.226,98.791,10.931,0.963
199304,25.179,24.163,1.18,26.115,1.92,133.25,421.904,2.77,98.724,11.487,0.909
199305,25.488,24.348,1.178,26.537,2.124,149.669,419.502,3.577,98.759,6.314,1.027
199306,24.842,23.73,1.192,25.916,1.982,134.239,415.123,3.067,98.974,7.493,0.943
199307,24.383,23.157,1.379,25.609,2.18,139.165,411.53,3.042,99.017,5.96,0.983
199308,24.414,23.136,1.543,25.66,2.37,154.876,409.867,3.393,99.039,5.209,1.023
199309,25.078,23.84,1.187,26.216,2.273,158.607,416.78,3.07,98.839,8.887,0.957
199310,25.427,24.109,1.105,26.64,2.103,167.332,418.859,3.387,98.772,7.888,0.91
199311,25.32,24.095,1.089,26.447,2.017,146.747,420.381,3.088,98.628,9.472,1.016
199312,25.789,24.55,1.099,26.91,2.067,159.957,420.824,3.668,98.606,9.309,1.056
199401,25.682,24.368,1.104,26.82,2.029,155.2,418.852,3.803,98.641,8.241,1.167
199402,24.973,23.858,1.071,25.999,1.876,135.495,420.888,2.733,98.731,14.212,0.895
199403,25.332,24.174,1.058,26.412,1.91,148.68,421.035,3.069,98.741,10.861,0.942
199404,25.184,24.173,1.113,26.115,1.816,131.665,420.103,2.947,98.782,10.756,0.938
199405,25.35,24.173,1.178,26.433,2.049,132.62,419.742,3.006,98.828,9.115,0.937
199406,24.273,23.159,1.389,25.357,2.011,115.602,413.988,2.642,98.986,11.812,1.014
199407,24.391,23.095,1.382,25.687,2.217,126.777,411.903,3.17,99.036,7.349,1.006
199408,24.892,23.442,1.38,26.312,2.499,159.18,412.521,3.537,98.982,7.596,0.95
199409,25.23,24.0,1.233,26.362,2.205,156.839,418.207,3.179,98.858,7.254,0.92
199410,25.571,24.283,1.269,26.757,2.311,162.939,418.513,3.622,98.66,8.302,0.919
199411,25.5,24.176,1.092,26.718,2.214,157.269,419.009,3.486,98.651,8.767,1.105
199412,25.918,24.653,1.123,27.063,2.121,163.664,421.168,3.935,98.625,8.188,1.035
199501,26.24,24.921,1.189,27.373,2.392,182.814,416.565,5.565,98.7,7.365,1.332
199502,26.085,24.939,0.97,27.14,2.079,172.046,420.593,4.138,98.71,7.526,1.228
199503,25.683,24.488,1.019,26.801,2.025,155.757,423.357,3.349,98.656,10.539,0.937
199504,25.732,24.61,1.114,26.764,1.965,145.759,422.191,3.713,98.657,9.491,1.131
199505,25.226,24.182,1.137,26.185,1.91,134.066,419.2,2.988,98.862,10.077,0.947
199506,24.907,23.787,1.21,25.991,1.952,124.638,416.848,3.011,98.938,6.525,0.949
199507,25.262,23.875,1.375,26.649,2.257,147.411,414.323,3.319,98.896,5.18,0.756
199508,25.625,24.262,1.416,26.96,2.575,173.041,414.921,3.761,98.863,4.631,0.895
199509,25.562,24.196,1.299,26.819,2.542,174.275,417.057,3.678,98.891,7.386,0.943
199510,25.79,24.388,1.114,27.081,2.335,174.69,418.596,3.822,98.656,7.48,0.994
199511,25.647,24.342,1.124,26.847,2.218,163.739,419.637,3.447,98.626,8.952,1.031
199512,25.414,24.268,1.078,26.456,1.91,158.997,419.079,3.209,98.69,10.019,0.973
199601,25.496,24.301,0.94,26.528,1.977,163.591,417.56,3.618,98.599,9.126,1.104
199602,25.395,24.188,1.256,26.505,2.189,170.441,418.301,3.642,98.691,8.329,1.094
199603,25.606,24.503,0.999,26.636,2.053,153.24,421.96,3.307,98.673,11.03,0.904
199604,25.328,24.277,1.012,26.295,1.914,143.417,419.671,3.111,98.743,9.055,1.024
199605,25.21,24.107,1.104,26.225,2.088,131.664,419.462,2.749,98.886,9.915,0.837
199606,24.077,23.204,1.015,24.925,1.763,114.632,415.497,2.453,99.025,7.523,1.072
199607,24.307,23.177,1.318,25.437,2.365,137.696,409.331,2.9,99.107,7.502,0.898
199608,25.142,23.867,1.179,26.388,2.381,159.059,413.682,3.274,98.952,6.441,0.863
199609,25.032,23.736,1.09,26.225,2.311,157.115,417.682,2.893,98.826,8.835,0.931
199610,25.23,23.917,1.037,26.437,2.226,167.888,418.98,2.986,98.685,8.762,0.908
199611,25.632,24.293,1.085,26.865,2.118,171.709,418.379,3.496,98.537,8.652,1.014
199612,25.526,24.276,1.074,26.658,2.135,168.798,417.169,3.712,98.627,8.693,1.085
199701,26.225,24.778,1.131,27.487,2.357,181.331,415.36,4.967,98.593,6.432,1.285
199702,24.918,23.834,1.034,25.915,1.835,140.928,418.53,2.916,98.727,11.832,1.033
199703,25.827,24.443,1.114,27.123,2.126,161.395,419.703,4.369,98.658,5.703,1.221
199704,25.472,24.209,1.207,26.634,2.093,148.869,417.574,3.586,98.784,8.277,1.094
199705,24.68,23.642,0.937,25.636,1.702,126.488,418.128,2.415,98.904,11.03,0.947
199706,25.13,23.8,1.103,26.426,2.149,143.578,417.204,3.156,98.814,7.055,0.818
199707,24.948,23.523,1.184,26.372,2.302,141.32,413.709,3.056,99.027,5.855,0.795
199708,24.679,23.352,1.135,25.972,2.267,147.708,413.394,2.943,99.05,6.466,0.954
199709,25.993,24.45,1.165,27.413,2.64,189.623,418.639,3.852,98.752,5.976,0.931
199710,26.324,24.727,0.942,27.793,2.506,190.072,422.197,4.105,98.632,6.183,0.897
199711,25.999,24.688,0.98,27.206,2.078,166.83,422.844,3.622,98.629,7.015,1.032
199712,25.786,24.511,0.946,26.946,2.042,160.427,423.597,3.395,98.679,9.318,0.986
199801,26.244,24.954,0.986,27.366,2.093,165.294,425.842,3.717,98.625,6.906,0.933
199802,26.473,25.2,0.943,27.644,1.911,159.344,429.59,3.529,98.702,11.226,0.951
