TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19810609,23.809,23.302,0.836,24.276,1.472,72.892,420.736,2.265,99.03,0.701,1.544
19810610,25.039,23.932,1.157,26.057,2.125,130.74,417.03,3.957,99.026,0.695,0.76
19810611,24.36,23.581,0.594,25.077,1.671,92.998,418.125,1.645,98.985,14.002,0.925
19810612,23.749,23.397,0.626,24.073,0.991,69.789,416.935,0.837,99.031,7.417,0.76
19810613,24.001,22.996,0.558,25.005,1.026,99.116,418.224,0.771,99.037,17.377,1.112
19810614,23.78,22.806,0.706,24.755,1.383,102.199,418.544,1.547,99.041,19.949,0.893
19810615,24.078,23.061,1.053,25.096,1.537,98.554,415.155,1.645,98.943,8.754,0.686
19810616,24.574,23.388,1.129,25.761,2.117,139.672,418.325,2.456,98.843,4.909,0.746
19810617,25.228,23.735,1.338,26.721,1.719,116.78,420.818,2.881,98.886,4.443,1.115
19810618,23.726,22.797,0.291,24.654,1.238,84.182,420.418,1.399,99.031,12.181,1.479
19810619,22.797,22.492,0.813,23.101,1.527,81.589,418.028,2.157,99.202,0.497,1.768
19810620,23.824,23.064,1.154,24.585,1.475,118.897,408.459,3.737,99.301,0.676,1.181
19810621,24.994,23.454,1.497,26.533,2.479,175.243,404.899,4.303,99.124,0.399,0.541
19810622,24.88,23.409,1.573,26.351,2.531,176.747,406.367,3.353,98.913,3.119,0.957
19810623,24.867,23.431,1.217,26.304,2.057,127.448,408.558,2.863,98.957,7.599,1.018
19810624,23.792,22.897,0.891,24.688,2.051,109.688,414.96,1.459,99.024,10.383,0.645
19810625,24.018,22.722,0.979,25.313,2.159,123.756,411.311,2.09,99.022,8.352,0.783
19810626,24.728,23.148,1.232,26.307,2.321,141.317,418.278,3.056,98.965,9.278,0.708
19810627,24.286,23.114,0.866,25.458,1.405,112.159,415.018,1.808,98.929,16.719,0.639
19810628,24.74,23.286,1.012,26.195,2.471,130.47,418.353,3.042,98.871,1.567,0.67
19810629,24.815,23.365,1.531,26.264,2.454,139.701,414.024,3.48,98.801,2.576,0.706
19810630,25.161,23.75,1.608,26.571,2.47,169.111,403.949,4.115,98.713,0.969,1.201
19810701,26.061,24.403,1.342,27.719,2.365,176.56,410.83,4.424,98.681,2.202,1.078
19810702,24.214,23.294,0.523,25.134,1.013,99.477,414.105,1.417,98.817,19.386,1.055
19810703,23.751,22.967,0.844,24.535,1.127,94.234,419.824,1.194,98.971,8.016,0.792
19810704,23.393,22.665,0.848,24.122,1.476,109.763,414.379,1.169,99.085,12.667,0.902
19810705,24.303,22.989,1.337,25.617,2.212,131.204,411.525,2.606,99.127,7.198,1.196
19810706,24.829,23.409,1.61,26.249,2.386,163.133,408.613,4.7,99.097,1.519,1.181
19810707,24.951,23.45,1.513,26.451,2.58,164.0,407.463,4.628,99.091,0.695,0.987
19810708,25.063,23.697,1.138,26.428,2.344,123.782,410.364,3.437,99.082,10.183,0.957
19810709,24.058,22.966,0.557,25.151,1.808,127.756,418.708,1.338,98.987,8.783,0.465
19810710,24.177,22.883,1.025,25.472,2.255,145.631,413.366,2.449,98.94,1.794,0.596
19810711,23.995,23.122,0.856,24.868,1.427,117.529,410.188,1.608,98.981,13.911,1.068
19810712,24.588,23.25,1.851,25.927,2.143,120.124,416.324,3.07,98.949,2.323,0.761
19810713,24.371,22.812,1.242,25.93,2.288,169.153,405.669,3.096,98.944,2.188,0.665
19810714,25.324,23.645,1.695,27.003,2.894,178.191,408.426,4.074,98.937,1.097,0.529
19810715,25.083,23.601,1.473,26.566,2.357,170.836,407.805,3.736,98.934,1.89,0.893
19810716,25.676,24.106,1.568,27.246,2.869,191.845,407.711,4.506,98.817,0.179,0.995
19810717,25.264,23.868,0.606,26.661,2.36,144.123,413.21,2.929,98.836,11.633,0.942
19810718,23.808,22.878,0.736,24.739,0.772,107.318,411.32,1.948,99.027,13.819,1.871
19810719,19.295,19.252,1.977,19.338,0.86,83.94,402.941,2.311,99.448,1.486,3.201
19810720,18.484,17.669,1.69,19.3,2.627,122.17,378.223,4.786,99.655,1.295,2.265
19810721,19.749,18.094,2.137,21.405,2.949,168.466,363.079,4.31,99.452,0.0,1.409
19810722,22.18,20.005,3.294,24.355,4.056,221.796,354.291,6.312,99.329,0.0,0.8
19810723,23.237,21.766,1.663,24.707,2.486,165.076,388.143,4.374,99.419,0.294,1.006
19810724,23.422,21.751,1.364,25.093,2.281,127.996,398.34,3.624,99.417,3.126,1.143
19810725,22.966,21.644,1.421,24.288,2.081,166.064,387.039,5.128,99.465,0.007,1.828
19810726,23.546,21.779,2.549,25.313,2.85,183.734,379.385,5.094,99.367,0.001,1.149
19810727,24.559,22.837,2.999,26.282,3.433,179.257,386.305,4.963,99.29,0.0,0.737
19810728,25.287,23.511,2.092,27.062,3.735,185.393,398.117,5.359,99.077,0.431,0.6
19810729,25.509,23.557,1.428,27.461,3.374,183.212,399.902,5.425,98.907,0.797,0.72
19810730,25.337,23.437,1.547,27.238,3.116,175.255,407.906,4.619,98.91,2.533,0.901
19810731,25.131,23.268,1.526,26.994,2.614,164.235,418.361,4.343,98.959,2.271,0.614
19810801,25.014,23.546,1.073,26.481,2.336,168.435,415.295,3.369,98.964,7.629,0.677
19810802,24.487,23.216,1.414,25.758,2.719,167.528,413.357,3.158,98.781,0.733,1.06
19810803,25.387,23.865,1.517,26.909,2.904,180.404,408.301,4.313,98.665,0.83,0.972
19810804,25.715,24.115,1.553,27.314,2.571,169.431,416.807,4.482,98.81,4.213,0.751
19810805,24.43,23.891,0.537,24.969,1.689,100.689,418.11,1.716,98.957,6.313,0.865
19810806,25.048,23.728,1.21,26.368,2.089,136.001,419.733,2.73,98.807,9.593,0.634
19810807,25.619,24.136,1.65,27.102,2.434,175.948,407.14,3.824,98.627,4.255,1.015
19810808,25.484,23.897,0.637,27.071,2.227,152.556,417.205,3.683,98.72,4.194,0.925
19810809,24.299,23.229,0.977,25.369,1.591,132.67,412.79,2.097,98.984,12.379,0.763
19810810,23.069,22.511,0.491,23.627,0.581,105.937,410.751,1.29,99.099,16.818,1.195
19810811,23.452,22.685,1.137,24.22,1.517,173.324,410.042,3.714,99.069,1.244,1.546
19810812,24.357,22.978,1.049,25.736,2.194,174.11,408.256,3.614,99.039,2.131,0.578
19810813,25.152,23.597,2.131,26.708,2.692,170.565,411.786,4.114,99.08,1.825,0.682
19810814,25.559,24.154,1.647,26.964,2.655,180.769,407.607,4.41,99.023,3.412,0.816
19810815,25.79,24.279,1.555,27.302,2.666,184.949,406.458,4.404,98.925,2.215,0.89
19810816,26.578,25.022,1.898,28.134,2.947,195.224,413.261,4.797,98.817,0.668,0.8
19810817,26.424,24.522,0.972,28.326,2.72,187.381,418.663,4.547,98.797,2.213,0.898
19810818,24.829,23.64,0.452,26.019,1.735,124.806,418.86,2.427,98.974,14.464,1.241
19810819,24.028,23.041,0.66,25.014,2.228,114.753,414.79,2.103,99.126,12.179,1.265
19810820,23.807,22.851,1.278,24.763,2.071,125.63,413.469,1.481,99.091,13.737,0.881
19810821,24.847,23.548,2.008,26.146,2.617,107.188,412.606,3.671,98.951,0.227,0.585
